Recording timestamp	Eyetracker timestamp	Eyepos3d_Left.x	Eyepos3d_Left.y	Eyepos3d_Left.z	Eyepos3dRel_Left.x	Eyepos3dRel_Left.y	Eyepos3dRel_Left.z	Gaze2d_Left.x	Gaze2d_Left.y	Gaze3d_Left.x	Gaze3d_Left.y	Gaze3d_Left.z	PupilDiam_Left	Validity_Left	Eyepos3d_Right.x	Eyepos3d_Right.y	Eyepos3d_Right.z	Eyepos3dRel_Right.x	Eyepos3dRel_Right.y	Eyepos3dRel_Right.z	Gaze2d_Right.x	Gaze2d_Right.y	Gaze3d_Right.x	Gaze3d_Right.y	Gaze3d_Right.z	PupilDiam_Right	Validity_Right	Event value	Event message
6602848653	1489513564358602	-5.603363e+000	5.811487e+000	6.747719e+002	5.549241e-001	4.705747e-001	7.492399e-001	6.862099e+002	1.374268e+002	2.346047e+000	2.568585e+002	9.057615e+001	3.215591e+000	0	5.511197e+001	6.011995e+000	6.764381e+002	3.630351e-001	4.692157e-001	7.547937e-001	6.981676e+002	1.301668e+002	6.863614e+000	2.593986e+002	9.160597e+001	3.502991e+000	0	0	0
6602851978	1489513564361927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6602855321	1489513564365270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6602858703	1489513564368652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6602862057	1489513564372006	-5.560752e+000	5.809029e+000	6.747564e+002	5.547893e-001	4.705873e-001	7.491880e-001	6.867414e+002	1.331715e+002	2.546844e+000	2.583473e+002	9.117976e+001	3.194550e+000	0	5.515793e+001	5.992577e+000	6.764334e+002	3.628890e-001	4.693220e-001	7.547780e-001	6.972387e+002	1.339226e+002	6.512669e+000	2.580845e+002	9.107321e+001	3.488403e+000	0	0	0
6602865334	1489513564375283	-5.551798e+000	5.807449e+000	6.747619e+002	5.547609e-001	4.705962e-001	7.492061e-001	6.874996e+002	1.334180e+002	2.833292e+000	2.582611e+002	9.114479e+001	3.200195e+000	0	5.516986e+001	5.987802e+000	6.764408e+002	3.628529e-001	4.693486e-001	7.548027e-001	7.022305e+002	1.373459e+002	8.398551e+000	2.568868e+002	9.058763e+001	3.499847e+000	0	0	0
6602868654	1489513564378604	-5.540886e+000	5.804752e+000	6.747618e+002	5.547264e-001	4.706110e-001	7.492061e-001	6.896726e+002	1.334920e+002	3.654264e+000	2.582352e+002	9.113430e+001	3.201950e+000	0	5.517959e+001	5.979762e+000	6.764365e+002	3.628213e-001	4.693925e-001	7.547884e-001	6.974981e+002	1.329342e+002	6.610688e+000	2.584303e+002	9.121342e+001	3.500717e+000	0	0	0
6602872017	1489513564381967	-5.530363e+000	5.800925e+000	6.747594e+002	5.546931e-001	4.706320e-001	7.491978e-001	6.921259e+002	1.361768e+002	4.581093e+000	2.572959e+002	9.075347e+001	3.208084e+000	0	5.519324e+001	5.971377e+000	6.764565e+002	3.627823e-001	4.694395e-001	7.548549e-001	7.031343e+002	1.401944e+002	8.740012e+000	2.558902e+002	9.018357e+001	3.489944e+000	0	0	0
6602875382	1489513564385332	-5.519354e+000	5.795977e+000	6.747823e+002	5.546581e-001	4.706603e-001	7.492743e-001	6.888109e+002	1.365859e+002	3.328710e+000	2.571527e+002	9.069543e+001	3.202133e+000	0	5.520460e+001	5.962824e+000	6.764590e+002	3.627470e-001	4.694866e-001	7.548635e-001	6.985765e+002	1.379004e+002	7.018105e+000	2.566928e+002	9.050898e+001	3.482681e+000	0	0	0
6602878655	1489513564388605	-5.509621e+000	5.792380e+000	6.747913e+002	5.546272e-001	4.706805e-001	7.493044e-001	6.875960e+002	1.407416e+002	2.869720e+000	2.556988e+002	9.010595e+001	3.203476e+000	0	5.521685e+001	5.953123e+000	6.764815e+002	3.627130e-001	4.695409e-001	7.549384e-001	6.994557e+002	1.358200e+002	7.350257e+000	2.574207e+002	9.080407e+001	3.498840e+000	0	0	0
6602881983	1489513564391933	-5.500440e+000	5.787138e+000	6.747700e+002	5.545984e-001	4.707084e-001	7.492334e-001	6.943751e+002	1.381166e+002	5.430815e+000	2.566172e+002	9.047830e+001	3.190781e+000	0	5.522460e+001	5.941354e+000	6.764627e+002	3.626847e-001	4.696047e-001	7.548759e-001	7.017775e+002	1.360598e+002	8.227399e+000	2.573368e+002	9.077006e+001	3.476746e+000	0	0	0
6602885347	1489513564395297	-5.491088e+000	5.780681e+000	6.747613e+002	5.545688e-001	4.707436e-001	7.492043e-001	6.901160e+002	1.349768e+002	3.821776e+000	2.577157e+002	9.092369e+001	3.213425e+000	0	5.523478e+001	5.928460e+000	6.764707e+002	3.626542e-001	4.696759e-001	7.549023e-001	7.036538e+002	1.329229e+002	8.936248e+000	2.584343e+002	9.121502e+001	3.494125e+000	0	0	0
6602888707	1489513564398657	-5.480264e+000	5.775675e+000	6.747682e+002	5.545345e-001	4.707715e-001	7.492275e-001	6.873093e+002	1.372829e+002	2.761397e+000	2.569089e+002	9.059656e+001	3.195633e+000	0	5.524339e+001	5.915890e+000	6.764550e+002	3.626238e-001	4.697442e-001	7.548501e-001	7.054316e+002	1.373993e+002	9.607909e+000	2.568681e+002	9.058005e+001	3.477646e+000	0	0	0
6602892066	1489513564402016	-5.469776e+000	5.769304e+000	6.747596e+002	5.545014e-001	4.708062e-001	7.491986e-001	6.878631e+002	1.399323e+002	2.970630e+000	2.559819e+002	9.022074e+001	3.198914e+000	0	5.525429e+001	5.903464e+000	6.764701e+002	3.625926e-001	4.698132e-001	7.549003e-001	6.976211e+002	1.412133e+002	6.657152e+000	2.555337e+002	9.003904e+001	3.498993e+000	0	0	0
6602895331	1489513564405281	-5.460445e+000	5.763008e+000	6.747367e+002	5.544721e-001	4.708399e-001	7.491223e-001	6.882055e+002	1.356164e+002	3.099987e+000	2.574919e+002	9.083295e+001	3.211227e+000	0	5.526255e+001	5.890101e+000	6.764693e+002	3.625664e-001	4.698866e-001	7.548975e-001	6.970923e+002	1.354351e+002	6.457356e+000	2.575553e+002	9.085867e+001	3.489044e+000	0	0	0
6602898673	1489513564408623	-5.450444e+000	5.756801e+000	6.747199e+002	5.544406e-001	4.708733e-001	7.490664e-001	6.889540e+002	1.388428e+002	3.382755e+000	2.563631e+002	9.037529e+001	3.204819e+000	0	5.527177e+001	5.876740e+000	6.764705e+002	3.625376e-001	4.699601e-001	7.549015e-001	7.022300e+002	1.400749e+002	8.398348e+000	2.559320e+002	9.020051e+001	3.500381e+000	0	0	0
6602902032	1489513564411982	-5.440561e+000	5.749939e+000	6.747529e+002	5.544091e-001	4.709126e-001	7.491762e-001	6.933049e+002	1.317381e+002	5.026498e+000	2.588488e+002	9.138309e+001	3.190521e+000	0	5.528122e+001	5.863826e+000	6.764784e+002	3.625094e-001	4.700314e-001	7.549278e-001	7.028126e+002	1.394839e+002	8.618474e+000	2.561388e+002	9.028436e+001	3.494019e+000	0	0	0
6602905387	1489513564415338	-5.432556e+000	5.743465e+000	6.747272e+002	5.543839e-001	4.709472e-001	7.490908e-001	6.923282e+002	1.388500e+002	4.657536e+000	2.563606e+002	9.037428e+001	3.209198e+000	0	5.528786e+001	5.849307e+000	6.764618e+002	3.624851e-001	4.701104e-001	7.548728e-001	7.031699e+002	1.360803e+002	8.753466e+000	2.573296e+002	9.076716e+001	3.472900e+000	0	0	0
6602908662	1489513564418613	-5.425374e+000	5.736912e+000	6.747423e+002	5.543611e-001	4.709840e-001	7.491410e-001	6.893642e+002	1.370714e+002	3.537733e+000	2.569829e+002	9.062656e+001	3.213028e+000	0	5.529667e+001	5.834649e+000	6.764956e+002	3.624644e-001	4.701925e-001	7.549854e-001	7.002272e+002	1.368187e+002	7.641719e+000	2.570713e+002	9.066240e+001	3.507248e+000	0	0	0
6602911998	1489513564421949	-5.419489e+000	5.732012e+000	6.747580e+002	5.543424e-001	4.710117e-001	7.491933e-001	6.887032e+002	1.381071e+002	3.288011e+000	2.566205e+002	9.047966e+001	3.210190e+000	0	5.530200e+001	5.822189e+000	6.765101e+002	3.624506e-001	4.702617e-001	7.550336e-001	7.033790e+002	1.342027e+002	8.832455e+000	2.579865e+002	9.103349e+001	3.488876e+000	0	0	0
6602915355	1489513564425306	-5.413908e+000	5.725228e+000	6.747579e+002	5.543247e-001	4.710491e-001	7.491929e-001	6.913844e+002	1.392951e+002	4.300943e+000	2.562049e+002	9.031114e+001	3.214111e+000	0	5.530925e+001	5.811279e+000	6.765310e+002	3.624321e-001	4.703226e-001	7.551034e-001	6.999391e+002	1.397631e+002	7.532874e+000	2.560411e+002	9.024476e+001	3.490540e+000	0	0	0
6602918718	1489513564428669	-5.408267e+000	5.718358e+000	6.747314e+002	5.543071e-001	4.710858e-001	7.491046e-001	6.902705e+002	1.377216e+002	3.880149e+000	2.567554e+002	9.053434e+001	3.209427e+000	0	5.531355e+001	5.799580e+000	6.765191e+002	3.624161e-001	4.703863e-001	7.550637e-001	7.011438e+002	1.328384e+002	7.987995e+000	2.584639e+002	9.122701e+001	3.480240e+000	0	0	0
6602921993	1489513564431944	-5.405657e+000	5.710161e+000	6.747107e+002	5.542990e-001	4.711301e-001	7.490356e-001	6.895181e+002	1.348871e+002	3.595868e+000	2.577471e+002	9.093640e+001	3.204422e+000	0	5.531663e+001	5.786822e+000	6.765051e+002	3.624036e-001	4.704558e-001	7.550171e-001	7.024249e+002	1.349134e+002	8.471981e+000	2.577379e+002	9.093268e+001	3.498123e+000	0	0	0
6602925322	1489513564435273	-5.400871e+000	5.701673e+000	6.747255e+002	5.542838e-001	4.711776e-001	7.490851e-001	6.869569e+002	1.379342e+002	2.628260e+000	2.566810e+002	9.050418e+001	3.213257e+000	0	5.532383e+001	5.775690e+000	6.765426e+002	3.623886e-001	4.705187e-001	7.551418e-001	7.012392e+002	1.379137e+002	8.024048e+000	2.566881e+002	9.050708e+001	3.491592e+000	0	0	0
6602928685	1489513564438636	-5.397993e+000	5.693222e+000	6.747102e+002	5.542748e-001	4.712236e-001	7.490340e-001	6.853366e+002	1.410280e+002	2.016135e+000	2.555986e+002	9.006533e+001	3.206284e+000	0	5.532776e+001	5.764972e+000	6.765509e+002	3.623780e-001	4.705780e-001	7.551697e-001	6.992830e+002	1.401990e+002	7.285010e+000	2.558886e+002	9.018292e+001	3.493484e+000	0	0	0
6602932033	1489513564441984	-5.395840e+000	5.687190e+000	6.746997e+002	5.542681e-001	4.712564e-001	7.489988e-001	6.924989e+002	1.393524e+002	4.722028e+000	2.561848e+002	9.030300e+001	3.200073e+000	0	5.532961e+001	5.754303e+000	6.765543e+002	3.623729e-001	4.706368e-001	7.551809e-001	7.002643e+002	1.364622e+002	7.655747e+000	2.571960e+002	9.071298e+001	3.483932e+000	0	0	0
6602935302	1489513564445253	-5.393147e+000	5.679272e+000	6.747198e+002	5.542595e-001	4.713010e-001	7.490662e-001	6.905809e+002	1.355687e+002	3.997420e+000	2.575086e+002	9.083972e+001	3.194183e+000	0	5.533199e+001	5.744195e+000	6.765654e+002	3.623678e-001	4.706928e-001	7.552181e-001	7.004259e+002	1.370899e+002	7.716794e+000	2.569764e+002	9.062394e+001	3.475891e+000	0	0	0
6602938649	1489513564448601	-5.392397e+000	5.671678e+000	6.747325e+002	5.542571e-001	4.713435e-001	7.491085e-001	6.861175e+002	1.361086e+002	2.311140e+000	2.573197e+002	9.076314e+001	3.200470e+000	0	5.533291e+001	5.732437e+000	6.765693e+002	3.623658e-001	4.707576e-001	7.552311e-001	7.009745e+002	1.351566e+002	7.924032e+000	2.576528e+002	9.089817e+001	3.503342e+000	0	0	0
6602942011	1489513564451963	-5.393088e+000	5.661843e+000	6.747196e+002	5.542594e-001	4.713972e-001	7.490653e-001	6.905785e+002	1.351691e+002	3.996479e+000	2.576484e+002	9.089640e+001	3.198303e+000	0	5.533456e+001	5.721866e+000	6.765773e+002	3.623623e-001	4.708161e-001	7.552578e-001	6.994257e+002	1.383981e+002	7.338923e+000	2.565187e+002	9.043838e+001	3.486633e+000	0	0	0
6602945367	1489513564455319	-5.394089e+000	5.655043e+000	6.747220e+002	5.542626e-001	4.714349e-001	7.490735e-001	6.892131e+002	1.338524e+002	3.480640e+000	2.581091e+002	9.108317e+001	3.216812e+000	0	5.533365e+001	5.709642e+000	6.765784e+002	3.623654e-001	4.708833e-001	7.552612e-001	7.044586e+002	1.352281e+002	9.240331e+000	2.576278e+002	9.088803e+001	3.476837e+000	0	0	0
6602948658	1489513564458610	-5.396804e+000	5.647575e+000	6.747046e+002	5.542713e-001	4.714753e-001	7.490155e-001	6.893201e+002	1.302767e+002	3.521090e+000	2.593601e+002	9.159039e+001	3.184662e+000	0	5.533233e+001	5.697302e+000	6.765911e+002	3.623723e-001	4.709518e-001	7.553038e-001	7.039438e+002	1.374609e+002	9.045811e+000	2.568466e+002	9.057132e+001	3.477707e+000	0	0	0
6602951963	1489513564461915	-5.400101e+000	5.638620e+000	6.747170e+002	5.542817e-001	4.715253e-001	7.490568e-001	6.867503e+002	1.390256e+002	2.550212e+000	2.562992e+002	9.034937e+001	3.204559e+000	0	5.532881e+001	5.683495e+000	6.765772e+002	3.623806e-001	4.710271e-001	7.552574e-001	7.032700e+002	1.370959e+002	8.791269e+000	2.569743e+002	9.062309e+001	3.465775e+000	0	0	0
